Ansatz ;E1;E2;deltaE;Ethanol (g/L);Ethanol (Vol)
10;-0,001;1,623;1,414384;26,873296;3,404958694
30;0,009;0,225;0,038192;0,1451296;0,018388526
40;0,017;0,357;0,343264;1,3044032;0,165273326
50;0,005;0,24;0,05996;0,227848;0,028869292
60;0,006;0,343;0,162152;0,6161776;0,078072272
70;0,114;0,577;0,484888;1,8425744;0,233461862
80;0,075;0,443;0,3824;1,45312;0,184116365
90;0,007;0,457;0,451344;1,7151072;0,217311236
100;0,012;0,472;0,462304;1,7567552;0,222588211
110;0,006;1,319;1,314152;24,968888;3,163662257
120;0,014;0,286;0,274688;1,0438144;0,132255638
130;0,018;0,454;0,439456;1,6699328;0,211587451
140;0,027;0,496;0,474184;1,8018992;0,228308145
150;0,012;0,498;0,488304;1,8555552;0,235106584
160;0,004;1,335;1,331768;25,303592;3,20607065
170;0,023;0,285;0,266416;1,0123808;0,12827287
180;0,02;0,483;0,46684;1,773992;0,224772186
190;0,034;0,499;0,471528;1,7918064;0,227029345
200;0,017;0,379;0,365264;1,3880032;0,175865795
