Ansatz;Tag;pH;Plato;Plato_korr;Temperatur;Vol_prozent;;;;;;;;;
1;1;5,5;13,5;13,5;20;0;;;;;;;;;
1;2;4,87;11,9;11,9;20;0,9;;;;;;;;;
1;3;4,05;7,2;7,2;20;3,4;;;;;;;;;
1;4;4,12;6;5,94;19;4;;;;;;;;;
1;5;4,09;6;5,94;19;4;;;;;;;;;
1;6;4,12;6;5,94;19;4;;;;;;;;;
1;7;4,08;5,8;5,74;19;4,2;;;;;;;;;
1;8;4,12;5,8;5,74;19;4,2;;;;;;;;;
2;1;5,84;11,8;11,8;20;0;;;;;;;;;
2;2;5,87;11;11;20;0,5;;;;;;;;;
2;3;5,88;11,3;11,24;19;0,4;;;;;;;;;
2;4;5,53;11;10,94;19;0,5;;;;;;;;;
2;5;5,1;11;10,94;19;0,5;;;;;;;;;
2;6;5,08;10,8;10,74;19;0,6;;;;;;;;;
2;7;5,1;10,5;10,44;19;0,8;;;;;;;;;
2;8;5,05;10,5;10,44;19;0,8;;;;;;;;;
3;1;6,02;12,3;12,6;25;0;;;;;;;;;
3;3;5,65;11,9;13,51;40;-0,48;;;;;;;;;
3;5;5,4;11,9;13,51;40;-0,48;;;;;;;;;
3;7;5,21;11,9;13,51;40;-0,48;;;;;;;;;
3;9;4,3;11,9;13,51;40;-0,48;;;;;;;;;
3;11;4,3;11,9;13,51;40;-0,48;;;;;;;;;
3;13;4,31;11,9;13,51;40;-0,48;;;;;;;;;
3;15;4,27;11,9;13,51;40;-0,48;;;;;;;;;
4;1;6,09;14,3;14,18;18;0;;;;;;;;;
4;3;4,7;12,8;14,22;40;0;;;;;;;;;
4;5;4,54;;;40;;;;;;;;;;
4;7;4,16;;;40;;;;;;;;;;
4;9;4,14;;;40;;;;;;;;;;
4;11;4,15;12,5;13,63;35;0,29;;;;;;;;;
4;13;4,12;;;40;;;;;;;;;;
4;15;4,1;12,3;13,91;40;0,14;;;;;;;;;
5;1;5,72;20;;40;0;;;;;;;;;
5;3;4,49;20;;40;;;;;;;;;;
5;5;4,28;20;;40;;;;;;;;;;
5;7;4,2;20;;40;;;;;;;;;;
5;9;4,16;20;;40;;;;;;;;;;
5;11;4,1;20;;40;;;;;;;;;;
5;13;4,08;20;;40;;;;;;;;;;
6;1;3,47;16,5;18,13;40;0;;;;;;;;;
6;3;3,48;16;17,63;40;0,28;;;;;;;;;
6;5;3,48;15,5;17,13;40;0,54;;;;;;;;;
6;7;3,46;15;16,62;40;0,82;;;;;;;;;
6;9;3,48;15;16,62;40;0,82;;;;;;;;;
6;11;3,45;15;16,62;40;0,82;;;;;;;;;
6;13;4,44;15;16,62;40;0,82;;;;;;;;;
7;1;4,54;5;6,57;40;0;;;;;;;;;
7;3;4,14;5;6,57;40;0;;;;;;;;;
7;5;4,02;5;6,57;40;0;;;;;;;;;
7;7;3,97;5;6,57;40;0;;;;;;;;;
7;9;3,96;5;6,57;40;0;;;;;;;;;
7;11;3,97;5;6,57;40;0;;;;;;;;;
7;13;3,93;5;6,57;40;0;;;;;;;;;
7;15;3,98;5;6,57;40;0;;;;;;;;;
8;1;4,54;6;6,53;28;0;;;;;;;;;
8;15;3,93;6,1;6,78;30;0;;;;;;;;;
9;1;6,16;6;7,57;40;0;;;;;;;;;
9;3;4,27;5;6,57;40;0,51;;;;;;;;;
9;5;4,15;5;6,57;40;0,51;;;;;;;;;
9;7;4,09;5;6,57;40;0,51;;;;;;;;;
9;9;4,06;5;6,57;40;0,51;;;;;;;;;
9;11;4,11;5;6,57;40;0,51;;;;;;;;;
9;13;4,12;5;6,57;40;0,51;;;;;;;;;
10;1;6,54;6,5;6,5;20;0;;;;;;;;;
10;13;4,11;6,5;6,5;20;0;;;;;;;;;
11;1;5,74;13;12,94;19;0;;;;;;;;;
11;2;5,34;13;12,94;19;0;;;;;;;;;
11;3;4,61;10;9,94;19;1,58;;;;;;;;;
11;4;4,32;7;6,94;19;3,17;;;;;;;;;
11;5;4,3;6;5,94;19;3,7;;;;;;;;;
11;6;4,35;6;5,94;19;3,7;;;;;;;;;
11;7;4,34;6;5,94;19;3,7;;;;;;;;;
11;8;4,34;6;5,94;19;3,7;;;;;;;;;
11;9;4,35;6;5,94;19;3,7;;;;;;;;;
12;1;5,74;13;13;20;0;;;;;;;;;
12;3;4,69;12;13,61;40;0;;;;;;;;;
12;5;4,31;11;12,6;40;0,21;;;;;;;;;
12;7;4,2;11;12,6;40;0,21;;;;;;;;;
12;9;4,17;11;12,6;40;0,21;;;;;;;;;
12;11;4,08;11;12,6;40;0,21;;;;;;;;;
12;13;3,98;11;12,6;40;0,21;;;;;;;;;
12;15;3,99;11;12,6;40;0,21;;;;;;;;;
