Approach;Replicate ;pH_first_day ;pH_last_day;pH_diff;Vol_proz_first_day;Vol_proz_last_day;Vol_proz_diff
1;1;5,5;4,12;1,38;0;4,2;4,2
1;11;5,74;4,35;1,39;0;3,7;3,7
1;16;5,74;4,33;1,41;0;3,7;3,7
3;3;6,02;4,27;1,75;0;-0,48;-0,48
3;12;5,74;3,99;1,75;0;0,21;0,21
3;17;5,74;4,23;1,51;0;0,21;0,21
5;5;5,72;4,08;1,64;0;;0
5;13;5,95;3,81;2,14;0;1,11;1,11
5;18;5,95;3,82;2,13;0;0,83;0,83
6;5;3,47;4,44;-0,97;0;0,82;0,82
6;14;3,29;3,33;-0,04;0;0,55;0,55
6;19;3,29;3,34;-0,05;0;0,55;0,55
8;10;6,54;4,11;2,43;0;0;0
8;15;6,31;4,06;2,25;0;0;0
8;20;6,31;4,04;2,27;0;0;0
