Ansatz ;Tag;Probe;Zellkonz
14;1;1;19780000
14;1;2;14800000
14;1;3;30380000
14;5;1;59220000
14;5;2;68000000
14;5;3;40440000
14;9;1;67000000
14;9;2;93080000
14;9;3;68160000
14;13;1;67840000
14;13;2;64160000
14;13;3;65800000
9;1;1;10020000
9;1;2;10660000
9;1;3;9700000
9;3;1;40380000
9;3;2;21560000
9;3;3;36100000
9;5;1;59820000
9;5;2;50400000
9;5;3;57560000
9;7;1;87040000
9;7;2;86480000
9;7;3;39080000
9;9;1;45080000
9;9;2;53820000
9;9;3;51100000
9;11;1;47040000
9;11;2;43100000
9;11;3;53940000
9;13;1;47940000
9;13;2;46900000
9;13;3;51860000
