Ansatz;Konz_Glucose_g/l;Konz_Saccharose_g/l;Konz_Maltose_g/l;sd_Glucose;sd_Saccharose;sd_Maltose
1,1;0,5662496;1,30424272;3,2974892;;;
1,2;0;0,420413493;0;0,0849586;0,1614213;0,0998859
3,1;0,6233504;1,4782912;2,65107344;;;
3,2;1,0409;2,13757928;7,508105867;0,27;0,42;2,78
5,1;0,8922;1,1528232;5,41072224;;;
5,2;15,24749973;0,588708587;5,974816853;5,48;2,89;2,21
6,1;9,4596992;12,10691008;0;;;
6,2;13,76049973;3,174414667;1,099660213;4,03;2,32;2,87
9,1;3,5545248;0;0,23877884;;;
9,2;8,3272;0,14183;0;;;
10,1;3,1827748;0;0;;;
10,2;8,599816667;0;1,078653893;0,26;2,57;1,50
